"SH C14 conc, 5 Oct 11"	
1987.6	489.664366
1987.7	487.741363
1987.8	486.887799
1987.9	486.949693
1988	487.772542
1988.1	489.201659
1988.2	491.082115
1988.3	493.258704
1988.4	495.575571
1988.5	497.877371
1988.6	498.949344
1988.7	495.140201
1988.8	499.922018
1988.9	499.769093
1989	497.625201
1989.1	497.086951
1989.2	503.036709
1989.3	507.974627
1989.4	492.999874
1989.5	496.251806
1989.6	495.717457
1989.7	487.942088
1989.8	504.050783
1989.9	501.537675
1990	489.033361
1990.1	501.668700
1990.2	478.394407
1990.3	498.660291
1990.4	505.814949
1990.5	497.083793
1990.6	495.338542
1990.7	497.214029
1990.8	497.542077
1990.9	498.365515
1991	495.274560
1991.1	494.961973
1991.2	501.210282
1991.3	499.950092
1991.4	499.123698
1991.5	499.323774
1991.6	498.584318
1991.7	496.314983
1991.8	499.536365
1991.9	494.634357
1992	495.349258
1992.1	497.636803
1992.2	498.129596
1992.3	502.306804
1992.4	491.547775
1992.5	499.056841
1992.6	494.333873
1992.7	491.263399
1992.8	496.055059
1992.9	496.025808
1993	494.678871
1993.1	493.312425
1993.2	489.953408
1993.3	490.233929
1993.4	490.224984
1993.5	488.148311
1993.6	487.819436
1993.7	487.663908
1993.8	486.988259
1993.9	487.648939
1994	487.812020
1994.1	485.388560
1994.2	485.520076
1994.3	485.304535
1994.4	488.504152
1994.5	487.833621
1994.6	487.342494
1994.7	487.933882
1994.8	487.047075
1994.9	488.129334
1995	486.873059
1995.1	486.273602
1995.2	486.301313
1995.3	486.441987
1995.4	485.872923
1995.5	485.517264
1995.6	487.975796
1995.7	489.145217
1995.8	488.202252
1995.9	486.844848
1996	486.214788
1996.1	484.265577
1996.2	486.031068
1996.3	484.290251
1996.4	485.979899
1996.5	486.024197
1996.6	487.362447
1996.7	485.528775
1996.8	484.835168
1996.9	485.386973
1997	484.369501
1997.1	484.463505
1997.2	486.060532
1997.3	485.217846
1997.4	484.721444
1997.5	484.856210
1997.6	486.351385
1997.7	484.721819
1997.8	485.428076
1997.9	483.529602
1998	486.482908
1998.1	485.066518
1998.2	484.892629
1998.3	482.976863
1998.4	487.328734
1998.5	488.080834
1998.6	487.917250
1998.7	489.780860
1998.8	485.875959
1998.9	487.477851
1999	487.327600
1999.1	486.334142
1999.2	487.810897
1999.3	485.375042
1999.4	485.837590
1999.5	487.922301
1999.6	487.732699
1999.7	488.437468
1999.8	489.492307
1999.9	486.481898
2000	485.835173
2000.1	486.715890
2000.2	485.756313
2000.3	484.191749
2000.4	485.762246
2000.5	486.551591
2000.6	488.086326
2000.7	487.197237
2000.8	486.153558
2000.9	485.649870
2001	486.171894
2001.1	484.727759
2001.2	484.371533
2001.3	483.557071
2001.4	484.973100
2001.5	486.975987
2001.6	486.357886
2001.7	486.104923
2001.8	487.441535
2001.9	486.628340
2002	485.344174
2002.1	484.447963
2002.2	484.739311
2002.3	484.684735
2002.4	485.422381
2002.5	487.017500
2002.6	487.604923
2002.7	488.011062
2002.8	486.453673
2002.9	484.968681
2003	483.938795
2003.1	484.577381
2003.2	484.842557
2003.3	484.000704
2003.4	486.255781
2003.5	485.604449
2003.6	488.995237
2003.7	487.233524
2003.8	486.064676
2003.9	485.905526
2004	484.708606
2004.1	483.978917
2004.2	485.151206
2004.3	484.510951
2004.4	484.313619
2004.5	485.500923
2004.6	485.289226
2004.7	486.454956
2004.8	485.432803
2004.9	486.031528
2005	486.473475
2005.1	485.731098
2005.2	485.600113
2005.3	483.806131
2005.4	486.917250
2005.5	486.516412
2005.6	487.298346
2005.7	486.955958
2005.8	486.621475
2005.9	486.916161
2006	486.146672
2006.1	486.944361
2006.2	485.972652
2006.3	485.848656
2006.4	487.364074
2006.5	488.224883
2006.6	489.847781
2006.7	487.938654
2006.8	488.135109
2006.9	486.317917
2007	487.506013
2007.1	487.798060
2007.2	485.413085
2007.3	487.238594
2007.4	486.921529
2007.5	488.528862
2007.6	488.192715
2007.7	488.297236
2007.8	486.932036
2007.9	488.358804
2008	488.780658
2008.1	489.011275
2008.2	487.780568
2008.3	485.674009
2008.4	486.201301
2008.5	488.327037
2008.6	487.703828
2008.7	488.410583
2008.8	488.333679
2008.9	486.519002
