,T2m,TSKIN,SUBLIM,QH,QL,SW_d,LW_d,RAIN,BDOT,ALBEDO,SMELT
1980-03-15,240.92143,238.86122,-0.044132233,21.148603,1.4322915,63.536255,142.45784,0.0,0.43112746,0.78393793,0.0
1980-03-16,231.46037,227.39906,-0.016038576,18.834234,0.5192426,73.526634,101.94662,0.0,0.10200043,0.7745871,0.0
1980-03-17,242.98993,239.95738,-0.102706246,45.068935,3.3285363,50.47221,157.2303,0.0,0.9045663,0.79924625,0.0
1980-03-18,247.98286,246.36397,-0.08173833,23.971918,2.6526673,56.664494,179.89345,0.0,1.4699209,0.79896617,0.0
1980-03-19,237.1643,233.19281,-0.017204072,19.198343,0.5587239,87.601074,117.05597,0.0,0.050416052,0.7772164,0.0
1980-03-20,243.48976,236.4013,-0.04361298,21.653498,1.4125808,90.39408,135.18001,0.0,0.0012583705,0.77862746,0.0
1980-03-21,247.09096,233.49165,-0.016597882,6.5172024,0.5370429,92.58805,140.75343,0.0,0.024957271,0.78261906,0.0
1980-03-22,245.59114,240.35596,-0.028372288,8.076836,0.9201892,82.74841,176.11046,0.0,0.46541727,0.79173124,0.0
1980-03-23,247.55345,246.14825,-0.035872936,11.527873,1.1636053,57.118774,201.33075,0.0,1.8588591,0.81863064,0.0
1980-03-24,247.35481,246.016,-0.044241592,14.211972,1.4348513,69.7535,186.73192,0.0,1.557553,0.80819285,0.0
1980-03-25,242.11926,240.66425,-0.026896901,12.138043,0.87187964,93.77844,143.99757,0.0,0.526566,0.7867828,0.0
1980-03-26,232.85522,226.36452,-0.0046576173,4.8982882,0.15144181,111.78827,96.01587,0.0,0.07346724,0.7792415,0.0
1980-03-27,227.78491,221.11842,-0.006940625,11.490354,0.22445281,122.242836,83.03607,0.0,0.020776635,0.7772304,0.0
1980-03-28,234.06697,230.6654,-0.03022906,26.416414,0.9796069,105.91691,125.53022,0.0,0.2962532,0.78539497,0.0
1980-03-29,239.4936,236.96843,-0.039173886,21.569298,1.2703592,109.77352,139.7152,0.0,0.28686658,0.7863289,0.0
1980-03-30,237.75795,235.26588,-0.01855931,10.895732,0.6014502,116.3305,134.9383,0.0,0.3022572,0.7857129,0.0
1980-03-31,235.12584,229.61809,-0.0072144936,6.0065994,0.23269995,129.8095,115.11328,0.0,0.11863126,0.7830816,0.0
1980-04-01,233.62718,228.8691,-0.0059536,5.824592,0.19356458,127.18459,115.784515,0.0,0.19554842,0.7845085,0.0
1980-04-02,230.78346,223.47906,-0.006189217,7.909633,0.19959004,144.55872,91.184715,0.0,0.036066417,0.7798014,0.0
1980-04-03,236.29274,232.69795,-0.033491455,24.51297,1.0862104,121.694824,133.72382,0.0,0.3100916,0.7921186,0.0
1980-04-04,239.37518,235.70168,-0.024624713,13.22214,0.79671997,144.84099,129.68391,0.0,0.12579888,0.7847654,0.0
1980-04-05,243.05891,240.14886,-0.053981055,23.520544,1.749556,139.74634,150.18196,0.0,0.4081222,0.7913559,0.0
1980-04-06,240.22423,237.20625,-0.010154017,5.5934587,0.32945958,150.27565,135.68651,0.0,0.13800417,0.7839732,0.0
1980-04-07,241.30568,237.89185,-0.048591387,22.48437,1.5777451,129.22862,148.07555,0.0,0.46477306,0.79483503,0.0
1980-04-08,245.52966,243.5205,-0.012295761,6.2977233,0.4008092,123.167175,177.9406,0.0,1.2478373,0.8006091,0.0
1980-04-09,241.08574,240.20374,-0.005484014,8.067804,0.1781102,152.18587,142.95947,0.0,0.28517485,0.7862723,0.0
1980-04-10,237.0357,233.92676,-0.017550778,11.658713,0.5681471,171.29846,113.46512,0.0,0.061175775,0.78311706,0.0
1980-04-11,237.1944,234.23503,-0.0067284224,5.2473264,0.21906948,164.33022,130.36009,0.0,0.21497545,0.7861027,0.0
1980-04-12,235.44783,233.14618,-0.021283017,20.138893,0.6906075,182.01216,106.42633,0.0,0.13124643,0.7818339,0.0
1980-04-13,239.21797,237.52693,-0.029233795,24.428276,0.9465665,176.88979,124.402855,0.0,0.32408404,0.78606117,0.0
1980-04-14,237.94318,236.23647,-0.017226933,15.150916,0.55804414,174.22322,125.013,0.0,0.21861036,0.7891779,0.0
1980-04-15,236.6626,234.57115,-0.022084868,17.334745,0.71471053,191.58203,111.52262,0.0,0.15364721,0.78363466,0.0
1980-04-16,244.127,242.22508,-0.040429454,21.948557,1.3132406,146.09045,162.95615,0.0,1.0016714,0.79929113,0.0
1980-04-17,236.05,235.27473,0.00063773186,6.6104846,-0.018033346,199.7616,107.25266,0.0,0.20101954,0.78200895,0.0
1980-04-18,228.9316,227.13782,-0.007954715,14.55477,0.25733027,216.10828,80.23447,0.0,0.021634653,0.7785651,0.0
1980-04-19,245.54051,243.66466,-0.062211823,23.272955,2.0176272,177.67924,170.31596,0.0,0.9267728,0.79963946,0.0
1980-04-20,249.81386,249.23006,0.005151023,9.573827,-0.162098,158.97847,184.29274,0.0,1.6545035,0.8026728,0.0
1980-04-21,235.45271,235.05,0.008369838,3.667759,-0.27284494,212.80353,108.125916,0.0,0.4219466,0.7839124,0.0
1980-04-22,231.79411,229.4569,-0.004622237,11.118706,0.14962721,225.30501,95.76008,0.0,0.069056466,0.7814401,0.0
1980-04-23,243.1499,241.45436,-0.02877106,14.701897,0.93490905,183.20229,162.88736,0.0,0.8699181,0.8011539,0.0
1980-04-24,246.28072,244.90526,-0.03360487,10.698293,1.0914879,202.8369,151.68439,0.0,0.61676574,0.7941835,0.0
1980-04-25,240.49709,239.23558,-0.006332875,9.403956,0.20461161,221.36565,132.36195,0.0,0.22373904,0.7896804,0.0
1980-04-26,243.73933,242.65843,-0.010867891,11.443738,0.35263863,214.84895,149.66353,0.0,0.33231488,0.7924947,0.0
1980-04-27,245.7277,244.67299,0.017204288,5.2329698,-0.55436677,192.19666,167.40663,0.0,0.74567205,0.7961874,0.0
1980-04-28,241.23415,239.69458,0.0012406756,1.6546272,-0.04168574,240.82896,129.04948,0.0,0.20924969,0.7845535,0.0
1980-04-29,239.72389,237.34865,-0.010192315,9.162759,0.33166584,247.04399,119.98099,0.0,0.14580536,0.7841173,0.0
1980-04-30,241.81001,237.87268,-0.006592432,4.3019967,0.21353824,254.73999,126.46329,0.0,0.18448849,0.7853,0.0
1980-05-01,253.71172,252.38892,-0.03283569,17.78765,1.0679245,175.34654,212.9658,0.0,3.9041042,0.81986547,0.0
1980-05-02,257.41418,256.46658,-0.017218607,12.234778,0.55633897,190.29858,210.62689,0.0,1.9296768,0.8141053,0.0
