year	concentration	uncert
1861.13	290.005	4.170
1861.21	290.627	4.167
1861.29	290.756	4.149
1861.38	290.574	4.147
1861.46	288.119	4.145
1861.54	282.661	4.207
1861.63	277.935	4.188
1861.71	278.438	4.159
1861.79	282.651	4.164
1861.88	286.799	4.159
1861.96	289.103	4.189
1862.04	289.231	4.216
1862.13	290.105	4.170
1862.21	290.727	4.167
1862.29	290.856	4.149
1862.38	290.674	4.147
1862.46	288.219	4.145
1862.54	282.761	4.207
1862.63	278.035	4.188
1862.71	278.538	4.159
1862.79	282.751	4.164
1862.88	286.899	4.159
1862.96	289.203	4.189
1863.04	289.331	4.216
1863.13	290.205	4.170
1863.21	290.827	4.167
1863.29	290.956	4.149
1863.38	290.774	4.147
1863.46	288.319	4.145
1863.54	282.861	4.207
1863.63	278.135	4.188
1863.71	278.638	4.159
1863.79	282.851	4.164
1863.88	286.999	4.159
1863.96	289.303	4.189
1864.04	289.531	4.216
1864.13	290.405	4.170
1864.21	291.027	4.167
1864.29	291.156	4.149
1864.38	290.974	4.147
1864.46	288.519	4.145
1864.54	283.061	4.207
1864.63	278.335	4.188
1864.71	278.838	4.159
1864.79	283.051	4.164
1864.88	287.199	4.159
1864.96	289.503	4.189
1865.04	289.631	4.216
1865.13	290.505	4.170
1865.21	291.127	4.167
1865.29	291.256	4.149
1865.38	291.074	4.147
1865.46	288.619	4.145
1865.54	283.161	4.207
1865.63	278.435	4.188
1865.71	278.938	4.159
1865.79	283.151	4.164
1865.88	287.299	4.159
1865.96	289.603	4.189
1866.04	289.731	4.216
1866.13	290.605	4.170
1866.21	291.227	4.167
1866.29	291.356	4.149
1866.38	291.174	4.147
1866.46	288.719	4.145
1866.54	283.261	4.207
1866.63	278.535	4.188
1866.71	279.038	4.159
1866.79	283.251	4.164
1866.88	287.399	4.159
1866.96	289.703	4.189
1867.04	289.831	4.216
1867.13	290.705	4.170
1867.21	291.327	4.167
1867.29	291.456	4.149
1867.38	291.274	4.147
