GISP2 Layer Counted Timescale

REFERENCES: 

Meese, D.A., A.J. Gow, R.B. Alley, G.A. Zielinski, P.M. Grootes, M. Ram,
K.C. Taylor, P.A. Mayewski, and J.F. Bolzan. 1997. The Greenland Ice Sheet
Project 2 depth-age scale: Methods and results. Journal of Geophysical
Research 102:26411-26423.

Meese, D.A., A.J. Gow, P.M. Grootes, P.A. Mayewski, M. Ram, M. Stuiver,
K.C. Taylor, E.D. Waddington, and G.A. Zielinski. 1994. The accumulation
record from the GISP2 core as an indicator of climate change throughout the
Holocene. Science 266:1680-1682.

Meese, D.A., R.B. Alley, R.J. Fiacco, M.S. Germani, A.J. Gow, P.M. Grootes,
M. Illing, P.A. Mayewski, M.C. Morrison, M. Ram, K.C. Taylor, Q. Yang, and
G.A. Zielinski. 1994. Preliminary depth-agescale of the GISP2 ice core.
Special CRREL Report 94-1, US.

Alley, R.B., D.A. Meese, C.A. Shuman, A.J. Gow, K.C. Taylor, P.M. Grootes,
J.W.C. White, M. Ram, E.D. Waddington, P.A. Mayewski, and G.A. Zielinski.
1993. Abrupt increase in Greenland snow accumulation at the end of the
Younger Dryas event. Nature 362:527-529.

DATA DESCRIPTION: 

This is the depth-age scale for the GISP2 D core based on annual layer
counting.  This time-scale provides more annual detail than the official
GISP2 timescale (the Meese/Sowers timescale, file gisp2age.dat).  It is
important to note that the core is deformed below 2800 m.  Annual layers
from visual stratigraphy and an annual signal from laser light scattering
from dust were evident below this depth and were counted.  However, it is
clear the record is disturbed, is probably discontinuous, and that
sections of core may be duplicated as a result of folding, so any ages
beyond 2800 m must be used with extreme caution.

As for ALL timescales on this CDROM, all ages are in years before 1950
A.D., where 0 represents summer, 1950.

DATA:	

Depth (m)	Age (yrs BP 1950)

312.400	1185
312.680	1186
312.860	1187
313.060	1188
313.270	1189
313.520	1190
313.720	1191
313.940	1192
314.140	1193
314.370	1194
314.630	1195
314.870	1196
315.140	1197
315.510	1198
315.680	1199
315.920	1200
316.170	1201
316.410	1202
316.610	1203
316.870	1204
317.100	1205
317.380	1206
317.720	1207
317.880	1208
318.090	1209
318.330	1210
318.540	1211
318.740	1212
319.010	1213
319.200	1214
319.460	1215
319.740	1216
319.980	1217
320.150	1218
320.380	1219
320.550	1220
320.760	1221
321.020	1222
321.260	1223
321.470	1224
321.680	1225
321.910	1226
322.130	1227
322.350	1228
322.550	1229
322.760	1230
322.970	1231
323.190	1232
323.430	1233
323.600	1234
323.800	1235
323.980	1236
324.190	1237
324.410	1238
324.590	1239
324.880	1240
325.030	1241
325.220	1242
325.390	1243
325.620	1244
325.780	1245
326.070	1246
326.290	1247
326.460	1248
326.690	1249
326.970	1250
327.140	1251
327.370	1252
327.690	1253
327.880	1254
328.090	1255
328.320	1256
328.570	1257
328.850	1258
329.040	1259
329.180	1260
329.430	1261
329.660	1262
329.940	1263
330.300	1264
330.500	1265
330.720	1266
331.020	1267
331.170	1268
331.420	1269
331.650	1270
331.860	1271
332.210	1272
332.400	1273
332.650	1274
332.920	1275
333.070	1276
333.330	1277
333.510	1278
333.660	1279
333.980	1280
334.170	1281
334.350	1282
334.530	1283
334.920	1284
335.150	1285
335.310	1286
335.590	1287
335.750	1288
335.960	1289
336.220	1290
336.470	1291
336.660	1292
336.890	1293
337.160	1294
337.430	1295
337.700	1296
337.890	1297
338.130	1298
338.350	1299
338.480	1300
338.560	1301
338.790	1302
339.070	1303
339.240	1304
339.470	1305
339.650	1306
339.880	1307
340.090	1308
340.550	1309
340.760	1310
340.950	1311
341.080	1312
341.300	1313
341.610	1314
341.780	1315
342.000	1316
342.250	1317
342.440	1318
342.660	1319
342.900	1320
343.090	1321
343.310	1322
343.580	1323
343.780	1324
344.060	1325
344.250	1326
344.420	1327
344.530	1328
344.670	1329
344.800	1330
344.960	1331
345.170	1332
345.390	1333
345.580	1334
345.780	1335
345.980	1336
346.180	1337
346.380	1338
346.580	1339
346.780	1340
346.980	1341
347.180	1342
347.380	1343
347.580	1344
347.780	1345
347.980	1346
348.180	1347
348.380	1348
348.580	1349
348.780	1350
348.980	1351
349.180	1352
349.380	1353
349.580	1354
349.780	1355
349.980	1356
350.180	1357
350.380	1358
350.580	1359
350.780	1360
350.980	1361
351.180	1362
351.380	1363
351.580	1364
351.780	1365
351.980	1366
352.180	1367
352.380	1368
352.580	1369
352.780	1370
352.980	1371
353.180	1372
353.380	1373
353.580	1374
353.780	1375
353.980	1376
354.180	1377
354.380	1378
354.580	1379
354.780	1380
354.980	1381
355.180	1382
355.380	1383
355.580	1384
355.780	1385
355.980	1386
356.180	1387
356.380	1388
356.580	1389
356.780	1390
356.980	1391
357.180	1392
357.380	1393
357.580	1394
357.780	1395
357.980	1396
358.180	1397
358.380	1398
358.580	1399
358.780	1400
359.050	1401
359.240	1402
359.470	1403
359.660	1404
359.870	1405
360.110	1406
360.350	1407
360.550	1408
360.740	1409
360.900	1410
361.170	1411
361.410	1412
361.580	1413
361.830	1414
362.080	1415
362.170	1416
362.320	1417
362.520	1418
362.710	1419
362.900	1420
363.070	1421
363.230	1422
363.410	1423
363.640	1424
363.960	1425
364.230	1426
364.410	1427
364.630	1428
364.850	1429
365.130	1430
365.260	1431
365.490	1432
365.630	1433
365.770	1434
366.010	1435
366.250	1436
366.490	1437
366.670	1438
366.840	1439
366.930	1440
367.050	1441
367.280	1442
367.470	1443
367.650	1444
367.880	1445
368.100	1446
368.270	1447
368.380	1448
368.620	1449
368.800	1450
369.030	1451
369.160	1452
369.530	1453
369.630	1454
369.850	1455
370.090	1456
370.330	1457
370.540	1458
370.790	1459
370.950	1460
371.160	1461
371.320	1462
371.560	1463
371.740	1464
371.870	1465
372.090	1466
372.290	1467
372.630	1468
372.850	1469
373.010	1470
373.230	1471
373.500	1472
373.730	1473
373.980	1474
374.220	1475
374.400	1476
374.650	1477
374.830	1478
375.120	1479
375.330	1480
375.530	1481
375.740	1482
375.950	1483
376.170	1484
376.430	1485
376.620	1486
376.810	1487
377.010	1488
377.190	1489
377.420	1490
377.660	1491
377.940	1492
378.140	1493
378.320	1494
378.510	1495
378.740	1496
378.930	1497
379.180	1498
379.380	1499
379.600	1500
379.800	1501
380.050	1502
380.260	1503
380.410	1504
380.620	1505
380.800	1506
381.010	1507
381.150	1508
381.410	1509
381.620	1510
381.800	1511
381.940	1512
382.160	1513
382.470	1514
382.650	1515
382.880	1516
383.080	1517
383.340	1518
383.550	1519
383.760	1520
383.960	1521
384.170	1522
384.380	1523
384.560	1524
384.720	1525
384.950	1526
385.130	1527
385.400	1528
385.690	1529
385.790	1530
385.950	1531
386.040	1532
386.290	1533
386.500	1534
386.740	1535
387.000	1536
387.160	1537
387.290	1538
387.570	1539
387.820	1540
388.020	1541
388.220	1542
388.420	1543
388.620	1544
388.820	1545
389.020	1546
389.220	1547
389.420	1548
389.620	1549
389.820	1550
390.020	1551
390.220	1552
390.420	1553
390.620	1554
390.820	1555
391.020	1556
391.220	1557
391.420	1558
391.620	1559
391.820	1560
392.050	1561
392.330	1562
392.530	1563
392.780	1564
392.980	1565
393.240	1566
393.510	1567
393.640	1568
393.820	1569
394.030	1570
394.240	1571
394.450	1572
394.660	1573
394.870	1574
395.080	1575
395.290	1576
395.500	1577
395.710	1578
395.920	1579
396.130	1580
396.340	1581
396.550	1582
396.760	1583
396.970	1584
397.130	1585
397.430	1586
397.620	1587
397.810	1588
398.050	1589
398.280	1590
398.410	1591
398.520	1592
398.740	1593
398.900	1594
399.100	1595
399.200	1596
399.430	1597
399.660	1598
399.900	1599
400.100	1600
400.350	1601
400.520	1602
400.740	1603
400.970	1604
401.180	1605
401.350	1606
401.620	1607
401.740	1608
401.830	1609
401.980	1610
402.210	1611
402.440	1612
402.680	1613
402.950	1614
403.190	1615
403.450	1616
403.620	1617
403.820	1618
404.040	1619
404.260	1620
404.490	1621
404.700	1622
404.890	1623
405.100	1624
405.320	1625
405.470	1626
405.560	1627
405.780	1628
405.990	1629
406.210	1630
406.390	1631
406.630	1632
406.820	1633
407.070	1634
407.280	1635
407.520	1636
407.750	1637
407.940	1638
408.080	1639
408.220	1640
408.390	1641
408.610	1642
